Header,C7_x,C7_y,C7_z,RSCAP_x,RSCAP_y,RSCAP_z,ISTRN_x,ISTRN_y,ISTRN_z,LPSIS_x,LPSIS_y,LPSIS_z,RPSIS_x,RPSIS_y,RPSIS_z,RSTHI_x,RSTHI_y,RSTHI_z,RPTHI_x,RPTHI_y,RPTHI_z,RATHI_x,RATHI_y,RATHI_z,RLKNEE_x,RLKNEE_y,RLKNEE_z,RMKNEE_x,RMKNEE_y,RMKNEE_z,RSTIB_x,RSTIB_y,RSTIB_z,RATIB_x,RATIB_y,RATIB_z,RPTIB_x,RPTIB_y,RPTIB_z,RLANK_x,RLANK_y,RLANK_z,RMANK_x,RMANK_y,RMANK_z,RHEEL_x,RHEEL_y,RHEEL_z,RLTOE_x,RLTOE_y,RLTOE_z,RMSTOE_x,RMSTOE_y,RMSTOE_z,RMTOE_x,RMTOE_y,RMTOE_z,LSTHI_x,LSTHI_y,LSTHI_z,LPTHI_x,LPTHI_y,LPTHI_z,LATHI_x,LATHI_y,LATHI_z,LLKNEE_x,LLKNEE_y,LLKNEE_z,LPSHANK_x,LPSHANK_y,LPSHANK_z,LPANK_x,LPANK_y,LPANK_z,LLSANK_x,LLSANK_y,LLSANK_z,LLPANK_x,LLPANK_y,LLPANK_z,LHEEL_x,LHEEL_y,LHEEL_z,LMTOE_x,LMTOE_y,LMTOE_z,LMSTOE_x,LMSTOE_y,LMSTOE_z,LLTOE_x,LLTOE_y,LLTOE_z,LASHANK_x,LASHANK_y,LASHANK_z,LASIS_x,LASIS_y,LASIS_z,LMKNEE_x,LMKNEE_y,LMKNEE_z,RASIS_x,RASIS_y,RASIS_z,SSTRN_x,SSTRN_y,SSTRN_z
1,0.561174499511719,0.4910830078125,1.6800595703125,0.657257690429688,0.385177703857422,1.42901062011719,0.577568542480469,0.731020812988281,1.34366467285156,0.488074127197266,0.417513336181641,1.08471813964844,0.592061218261719,0.395192321777344,1.09012878417969,0.772862365722656,0.561123596191406,0.835762329101562,0.757687927246094,0.523569152832031,0.7896689453125,0.754935241699219,0.577744201660156,0.782680725097656,0.728617980957031,0.525495666503906,0.569862670898437,0.588655517578125,0.547419189453125,0.564959411621094,0.742874877929688,0.46831640625,0.378186981201172,0.729394775390625,0.43893994140625,0.329155303955078,0.738432495117187,0.496907684326172,0.325420166015625,0.734147521972656,0.459088012695313,0.1090732421875,0.624119689941406,0.502930389404297,0.109395950317383,0.659844421386719,0.379551239013672,0.0460717582702637,0.785531921386719,0.583485656738281,0.0404309234619141,0.722590026855469,0.634201965332031,0.0798556365966797,0.65874267578125,0.636495483398438,0.0365408821105957,0.354967712402344,0.599397888183594,0.862865417480469,0.360773651123047,0.63631787109375,0.815878234863281,0.363858245849609,0.580388305664063,0.807797180175781,0.359446136474609,0.613152526855469,0.551260986328125,0.473888885498047,0.595101989746094,0.463234069824219,0.392348022460937,0.578083923339844,0.194392425537109,0.437649108886719,0.649075012207031,0.139803527832031,0.436553833007812,0.621102905273437,0.105990783691406,0.389689849853516,0.518589965820312,0.0427614097595215,0.427527801513672,0.753451721191406,0.0410765266418457,0.366286712646484,0.763787475585938,0.0967628402709961,0.294907531738281,0.743710510253906,0.044802978515625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.5612607421875,0.490705098470052,1.67984025065104,0.657567057291667,0.384972615559896,1.42870544433594,0.57745361328125,0.730765218098958,1.34349466959635,0.488206939697266,0.417414296468099,1.08471529134115,0.592276224772135,0.395626159667969,1.08974275716146,0.772898620605469,0.561070231119792,0.835742614746094,0.757685526529948,0.523534606933594,0.789667358398437,0.755024495442708,0.57776904296875,0.782700561523437,0.72745985921224,0.524614034016927,0.569522827148437,0.588724161783854,0.547355489095052,0.564973449707031,0.743036112467448,0.468098317464193,0.378404642740885,0.729373453776042,0.438809458414714,0.329148508707682,0.738148173014323,0.496766764322917,0.325074178059896,0.734132059733073,0.459020487467448,0.109041102091471,0.624071940104167,0.502843821207682,0.109427134195964,0.659850545247396,0.379470245361328,0.0460794741312663,0.785492126464844,0.583461995442708,0.0404164263407389,0.722486775716146,0.634084309895833,0.0798137359619141,0.658622497558594,0.636496358235677,0.0366188125610352,0.355000498453776,0.599380981445312,0.862861043294271,0.361566813151042,0.636478291829427,0.815862243652344,0.363600311279297,0.58022509765625,0.807553975423177,0.359451802571615,0.613160664876302,0.551247985839844,0.473719970703125,0.594997619628906,0.463233825683594,0.392339070638021,0.57809071858724,0.194401524861654,0.437604726155599,0.64903076171875,0.139863535563151,0.436613321940104,0.621067891438802,0.106049550374349,0.389698232014974,0.518520365397135,0.0427891616821289,0.427488037109375,0.753384012858073,0.0411475423177083,0.366104166666667,0.763890645345052,0.096685417175293,0.294942555745443,0.743722086588542,0.0448257026672363,0.476020233154297,0.644834899902344,0.48180810546875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,0.561313883463542,0.490116953531901,1.67972619628906,0.657811482747396,0.384854990641276,1.42853963216146,0.577385660807292,0.730413024902344,1.3434140218099,0.488341379801432,0.417335601806641,1.08468868001302,0.5924560546875,0.395464213053385,1.08985953776042,0.772815795898437,0.561062642415365,0.835725667317708,0.757642150878906,0.523529764811198,0.789704142252604,0.754815897623698,0.578046936035156,0.782585367838542,0.727487487792969,0.524652994791667,0.569572285970052,0.588187967936198,0.547210083007813,0.564991088867188,0.742913513183594,0.468184977213542,0.378317749023438,0.729317830403646,0.438839813232422,0.329138580322266,0.73810400390625,0.496668955485026,0.325266794840495,0.734133178710937,0.459029713948568,0.109047457377116,0.623994059244792,0.502824818929037,0.109445419311523,0.659855672200521,0.379530822753906,0.0460793228149414,0.78549013264974,0.583428894042969,0.0404474118550619,0.72239589436849,0.634026326497396,0.0797221984863281,0.658851603190104,0.6364951171875,0.0364180971781413,0.35479731241862,0.599214864095052,0.862881774902344,0.360842061360677,0.636191080729167,0.815930013020833,0.363572448730469,0.5801318359375,0.807516337076823,0.359328552246094,0.613059020996094,0.5512685546875,0.473663248697917,0.594927083333333,0.463261912027995,0.392332875569661,0.578119405110677,0.194322209676107,0.437615641276042,0.649031962076823,0.139906656901042,0.436543090820313,0.621082600911458,0.106041735331217,0.389643829345703,0.518630472819011,0.0425956751505534,0.427480316162109,0.75340663655599,0.0411095263163249,0.36604355875651,0.763875508626302,0.0966517181396484,0.29476611328125,0.743583333333333,0.0449544563293457,0.47591786702474,0.644758239746094,0.482083251953125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,0.561328186035156,0.489526428222656,1.67957202148438,0.657918701171875,0.384628723144531,1.42833422851563,0.577315185546875,0.730055786132813,1.34335815429688,0.488381225585937,0.417210327148437,1.08464086914063,0.592634155273438,0.395470397949219,1.08982934570312,0.772836059570313,0.5611904296875,0.835778381347656,0.75770263671875,0.523659973144531,0.789714904785156,0.754263671875,0.578908508300781,0.782198303222656,0.727372497558594,0.524708190917969,0.56957861328125,0.588994934082031,0.547508117675781,0.564830505371094,0.742794250488281,0.468353546142578,0.378235656738281,0.7293291015625,0.438899932861328,0.329211730957031,0.738172973632813,0.496777191162109,0.325306732177734,0.734157775878906,0.459025177001953,0.109141166687012,0.623988220214844,0.502851104736328,0.109451850891113,0.659827331542969,0.379488739013672,0.0460409355163574,0.785498474121094,0.583465393066406,0.0404423179626465,0.722256103515625,0.634009338378906,0.0796807098388672,0.658647216796875,0.636482055664062,0.0366042556762695,0.355017395019531,0.599168640136719,0.862859802246094,0.361565643310547,0.636257507324219,0.815855346679688,0.363572113037109,0.580004699707031,0.807475646972656,0.359430084228516,0.613000122070313,0.551209899902344,0.473714263916016,0.594885864257813,0.463200988769531,0.392409088134766,0.57813037109375,0.194314682006836,0.4376220703125,0.649014892578125,0.139844680786133,0.436642059326172,0.62106005859375,0.106040512084961,0.38972314453125,0.518541198730469,0.0428309478759766,0.427461730957031,0.753411193847656,0.0410520133972168,0.3661962890625,0.763808044433594,0.0966270904541016,0.29504736328125,0.743863220214844,0.0446576232910156,0.475988494873047,0.644738159179687,0.481995635986328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,0.56131992594401,0.489050089518229,1.67938146972656,0.657956949869792,0.384383066813151,1.42813240559896,0.577165669759115,0.729428975423177,1.34324186197917,0.488498575846354,0.417102518717448,1.08452982584635,0.592789978027344,0.395441314697266,1.08967891438802,0.772819356282552,0.561407775878906,0.835808817545573,0.757696472167969,0.524037902832031,0.789619771321615,0.753399922688802,0.580015340169271,0.78175233968099,0.727861653645833,0.52550966389974,0.569623494466146,0.587967549641927,0.547488627115885,0.56509922281901,0.742690063476562,0.468690002441406,0.378132110595703,0.729244384765625,0.439169769287109,0.32912700398763,0.73800634765625,0.49697471110026,0.325265289306641,0.734032979329427,0.459116587320963,0.109023058573405,0.623859883626302,0.502844451904297,0.10938522084554,0.659801066080729,0.379582183837891,0.0460212999979655,0.785444478352865,0.58349696858724,0.0404717292785644,0.721806762695312,0.63379746500651,0.0794219385782877,0.659245686848958,0.63658115641276,0.0361310335795085,0.355120981852214,0.599066345214844,0.862804972330729,0.360958689371745,0.635898600260417,0.815967122395833,0.36359760538737,0.579840576171875,0.807440816243489,0.3594794921875,0.612946146647135,0.551203206380208,0.473725596110026,0.594890421549479,0.463101318359375,0.392321563720703,0.57803505452474,0.194308909098307,0.437617319742839,0.649064493815104,0.139770589192708,0.436565979003906,0.6211396484375,0.105978706359863,0.389707336425781,0.518537902832031,0.0426880887349447,0.427418670654297,0.753477315266927,0.0410550905863444,0.366250722249349,0.763802388509115,0.0966897735595703,0.294769297281901,0.743733479817708,0.0447021230061849,0.47602891031901,0.644859090169271,0.48158100382487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,0.561322835286458,0.488789072672526,1.67929809570313,0.658009785970052,0.384224975585937,1.42807678222656,0.577064005533854,0.728778645833333,1.34292431640625,0.488663736979167,0.416849294026693,1.08443697102865,0.592970784505208,0.39513584391276,1.08965661621094,0.772994832356771,0.561504353841146,0.835879272460938,0.757789367675781,0.524214518229167,0.789608642578125,0.755117472330729,0.578396911621094,0.78239219156901,0.727953938802083,0.525860514322917,0.569608581542969,0.588931559244792,0.548021036783854,0.56487109375,0.74285605875651,0.468834818522135,0.378131764729818,0.729346415201823,0.439282786051432,0.329111602783203,0.738034810384115,0.497033569335938,0.325105784098307,0.734027567545573,0.459077229817708,0.109030092875163,0.623944702148437,0.502816864013672,0.109396817525228,0.659815938313802,0.379562093098958,0.0460338541666667,0.785460896809896,0.58343153889974,0.0404950726826986,0.722266886393229,0.634003601074219,0.0798307723999023,0.659199788411458,0.636534790039063,0.0360190874735514,0.355490041097005,0.599083780924479,0.862779479980469,0.361381795247396,0.635918497721354,0.815897684733073,0.363760559082031,0.579727193196615,0.807489501953125,0.359598002115885,0.612879130045573,0.551158284505208,0.473826059977214,0.594801452636719,0.463082122802734,0.392409006754557,0.578040974934896,0.194301574707031,0.437689381917318,0.648964925130208,0.139853932698568,0.436548105875651,0.621050455729167,0.105955805460612,0.389713989257812,0.518546346028646,0.0426704063415527,0.427468078613281,0.753386759440104,0.0411264877319336,0.366077992757161,0.763944559733073,0.0966341705322266,0.294853434244792,0.743618631998698,0.0448859481811523,0.475993316650391,0.644736185709635,0.481723103841146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,0.561228698730469,0.48844775390625,1.67919213867187,0.658117370605469,0.384064605712891,1.42797326660156,0.577494445800781,0.72883837890625,1.34304626464844,0.488822265625,0.416717071533203,1.08439147949219,0.593130249023437,0.395026763916016,1.08960302734375,0.773142456054687,0.561545654296875,0.835861755371094,0.758050598144531,0.524250183105469,0.78967138671875,0.755212219238281,0.578525817871094,0.782362060546875,0.728103576660156,0.525899047851562,0.569624450683594,0.588471618652344,0.547796447753906,0.565097351074219,0.743147583007812,0.468760437011719,0.378206604003906,0.729518737792969,0.439204254150391,0.329143096923828,0.738124206542969,0.496954681396484,0.325193359375,0.734114440917969,0.45904296875,0.109052436828613,0.623991577148437,0.502801818847656,0.10934782409668,0.659917236328125,0.379480224609375,0.0460565147399902,0.785510009765625,0.583442687988281,0.0405268707275391,0.722412902832031,0.633968139648437,0.0798354187011719,0.659266174316406,0.636541870117188,0.036175235748291,0.355301513671875,0.598970031738281,0.862804504394531,0.361407623291016,0.635900573730469,0.81589404296875,0.363852203369141,0.579731384277344,0.8075283203125,0.359627746582031,0.612874877929688,0.55120263671875,0.473872100830078,0.594810729980469,0.463081573486328,0.392435302734375,0.57809130859375,0.194257263183594,0.437730224609375,0.648964172363281,0.139912445068359,0.436693420410156,0.621063720703125,0.106028869628906,0.389721038818359,0.518600280761719,0.0426587409973145,0.427521545410156,0.753384155273437,0.0411398124694824,0.366113739013672,0.763846313476563,0.0966447982788086,0.294869506835937,0.743479187011719,0.045061840057373,0.476192565917969,0.644627563476562,0.481920318603516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,0.561070027669271,0.488304433186849,1.67908251953125,0.658209676106771,0.383924194335937,1.42796997070312,0.577068155924479,0.727653198242187,1.34261926269531,0.488919881184896,0.416543904622396,1.08433955891927,0.593263936360677,0.395146230061849,1.08920739746094,0.773210469563802,0.561332478841146,0.83578407796224,0.758163106282552,0.523985432942708,0.789598551432292,0.755340677897135,0.578225667317708,0.7822724609375,0.728094909667969,0.52577988688151,0.569569620768229,0.588636657714844,0.547756673177083,0.565096903483073,0.743055928548177,0.468684397379557,0.378039204915365,0.729496907552083,0.439127716064453,0.329042510986328,0.738044840494792,0.496923258463542,0.324895701090495,0.734087463378906,0.45898583984375,0.108967745463053,0.623971252441406,0.502755350748698,0.109373059590658,0.659866475423177,0.37943793741862,0.0459895108540853,0.785476155598958,0.583393575032552,0.0404820226033529,0.721799967447917,0.633619486490885,0.0795547663370768,0.659231119791667,0.636561706542969,0.0361650695800781,0.355460683186849,0.598992167154948,0.862853881835937,0.361848653157552,0.635902628580729,0.815813883463542,0.363941589355469,0.57965537516276,0.807534444173177,0.359645467122396,0.612804524739583,0.551200358072917,0.473874786376953,0.594764892578125,0.463084045410156,0.392352650960286,0.577955383300781,0.194314376831055,0.437687469482422,0.648956705729167,0.13987754313151,0.436645080566406,0.621036336263021,0.106006177266439,0.38973139444987,0.518554890950521,0.0427241694132487,0.427469523111979,0.753395650227864,0.0411277389526367,0.366314412434896,0.763718546549479,0.0967622833251953,0.294788716634115,0.743555847167969,0.0449634564717611,0.476387461344401,0.644495178222656,0.482036865234375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,0.560841959635417,0.488318552652995,1.67909720865885,0.658321736653646,0.383965901692708,1.42812707519531,0.57700439453125,0.72714589436849,1.3422118733724,0.489108896891276,0.41633208211263,1.08438834635417,0.593398946126302,0.394887247721354,1.08935107421875,0.773220865885417,0.561175374348958,0.835774881998698,0.7581005859375,0.523786295572917,0.789561340332031,0.755399291992187,0.578052124023438,0.78238633219401,0.728088094075521,0.525577962239583,0.56960791015625,0.588776326497396,0.547550577799479,0.565071431477865,0.743052815755208,0.46845692952474,0.378195027669271,0.729472025553385,0.438989654541016,0.329077728271484,0.738096700032552,0.496723653157552,0.325145884195964,0.734083679199219,0.458977345784505,0.109014714558919,0.623928405761719,0.50275776163737,0.109343015034993,0.659817687988281,0.379464029947917,0.0459302749633789,0.78544346110026,0.583437642415365,0.0405211524963379,0.722294270833333,0.633939290364583,0.0798763758341471,0.658820393880208,0.636500935872396,0.036512279510498,0.355596171061198,0.59854014078776,0.862772806803385,0.361671427408854,0.635573201497396,0.815897989908854,0.364098124186198,0.579435872395833,0.807506083170573,0.359792836507161,0.612691874186198,0.551183959960937,0.474013224283854,0.594642171223958,0.463088846842448,0.392451599121094,0.577980163574219,0.194251800537109,0.437719868977865,0.64894736735026,0.139851979573568,0.436693664550781,0.621034362792969,0.106003575642904,0.389760986328125,0.518519246419271,0.0427356173197428,0.427456624348958,0.75340370686849,0.0411484934488932,0.366271982828776,0.763686360677083,0.0966843058268229,0.294772745768229,0.743467407226563,0.0451375719706217,0.476296366373698,0.644459391276042,0.481945088704427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,0.560604431152344,0.488406005859375,1.67908044433594,0.658354736328125,0.384060913085937,1.42833032226562,0.577078857421875,0.727039672851562,1.34194580078125,0.489427307128906,0.416124664306641,1.08444543457031,0.59361962890625,0.394638336181641,1.08962109375,0.773459289550781,0.560892211914062,0.83572265625,0.758339538574219,0.523420043945312,0.789655944824219,0.755608276367188,0.577648376464844,0.782402465820312,0.728290710449219,0.525157531738281,0.56956494140625,0.58902197265625,0.547290466308594,0.564976501464844,0.743859191894531,0.467710174560547,0.37885498046875,0.7295615234375,0.438719787597656,0.329037170410156,0.738134216308594,0.496466979980469,0.325058624267578,0.734117248535156,0.4589013671875,0.108935935974121,0.623914855957031,0.502721313476562,0.109339637756348,0.659877868652344,0.379432342529297,0.0459403076171875,0.7854853515625,0.583400390625,0.040535083770752,0.721655578613281,0.633502258300781,0.0794117584228516,0.659232604980469,0.636463317871094,0.0361747627258301,0.355804107666016,0.5982392578125,0.862734741210938,0.36228125,0.635424682617188,0.8159443359375,0.364303070068359,0.579150512695312,0.807489013671875,0.359936706542969,0.612523254394531,0.551137390136719,0.474157897949219,0.594449951171875,0.463047119140625,0.392501190185547,0.577890686035156,0.194227798461914,0.437774505615234,0.648917785644531,0.139808731079102,0.436815765380859,0.620986511230469,0.106024139404297,0.389750518798828,0.518473327636719,0.0426003189086914,0.427527252197266,0.753361022949219,0.0411331329345703,0.366261108398438,0.763932189941406,0.0970329208374024,0.294731903076172,0.743583801269531,0.0449825325012207,0.476443878173828,0.644272583007813,0.481928497314453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
