Header,pelvis_x,pelvis_y,pelvis_z,pelvis_rotx,pelvis_roty,pelvis_rotz,femur_r_x,femur_r_y,femur_r_z,femur_r_rotx,femur_r_roty,femur_r_rotz,tibia_r_x,tibia_r_y,tibia_r_z,tibia_r_rotx,tibia_r_roty,tibia_r_rotz,talus_r_x,talus_r_y,talus_r_z,talus_r_rotx,talus_r_roty,talus_r_rotz,calcn_r_x,calcn_r_y,calcn_r_z,calcn_r_rotx,calcn_r_roty,calcn_r_rotz,toes_r_x,toes_r_y,toes_r_z,toes_r_rotx,toes_r_roty,toes_r_rotz,femur_l_x,femur_l_y,femur_l_z,femur_l_rotx,femur_l_roty,femur_l_rotz,torso_x,torso_y,torso_z,torso_rotx,torso_roty,torso_rotz,DriveOutputKF_x,DriveOutputKF_y,DriveOutputKF_z,DriveOutputKF_rotx,DriveOutputKF_roty,DriveOutputKF_rotz,KneeAssembly_x,KneeAssembly_y,KneeAssembly_z,KneeAssembly_rotx,KneeAssembly_roty,KneeAssembly_rotz,AnkleAssembly_x,AnkleAssembly_y,AnkleAssembly_z,AnkleAssembly_rotx,AnkleAssembly_roty,AnkleAssembly_rotz,Foot_x,Foot_y,Foot_z,Foot_rotx,Foot_roty,Foot_rotz,Pylon_x,Pylon_y,Pylon_z,Pylon_rotx,Pylon_roty,Pylon_rotz
1,0.56914617,0.64434426,1.08773309,79.8881200361411,-15.2880946204709,84.7678576217073,0.692175714816974,0.556353389222862,0.994120983042278,93.3218766116593,3.50603832932969,78.2073034796802,0.661867009195762,0.531617727134377,0.571126552233259,93.3366118813506,6.42184960817796,78.3775414223857,0.622896467873182,0.483755466051158,0.0848539768636315,91.7703576760815,-8.54202377556482,75.0339630829751,0.617833378986847,0.435592141824238,0.029052961208324,91.7703558182205,-8.54202404846261,75.033961440878,0.664556777229011,0.606439789411381,0.0536011132903789,91.7703557374157,-8.54202416235927,75.0339614373181,0.465327209335286,0.587929757348228,0.954763484058993,95.154505056088,-4.92206498910881,95.3742727545406,0.53430593001025,0.482234080950512,1.15848468127731,93.1108621335073,17.30384927222,82.5344950374911,0.378739894027367,0.576475823135864,0.526812710055643,95.154505056088,-4.92206498910881,95.3742727545406,0.379104493230783,0.576652836019674,0.531048370724478,95.1362903061267,1.03763676949478,95.9109845364409,0.366251389535509,0.572649101946827,0.384252370837313,95.1362903061267,1.03763676949478,95.9109845364409,0.371854710168361,0.509216900362375,0.374735950163952,95.2358562125195,-11.2236268005117,94.7958490447752,0.60596177345238,0.647318742405426,3.12199776873293,95.1362903061267,1.03763676949478,95.9109845364409
2,0.570224023333333,0.644397413333334,1.08785678333333,79.9506072685871,-15.3660925760777,84.5571338923439,0.692868551512282,0.556126398979406,0.994003512001181,93.4056952790038,3.5905566980716,77.9567705257875,0.661712057092028,0.531024678452152,0.571105287033063,93.419945010489,6.34031531588166,78.1213555606512,0.621974856385385,0.484165399248647,0.0847970725064006,91.8604010821255,-8.59740203763797,74.7598479965273,0.616623142889805,0.436100472626679,0.0289381787713089,91.8603994460817,-8.59740227591996,74.7598465485944,0.664154095047713,0.606700729665468,0.0536559312027456,91.8603993768466,-8.59740237354081,74.7598465453875,0.46609235914956,0.588528569431116,0.954901311078889,95.2058674748379,-4.70635361592013,95.0913327287228,0.534899373009384,0.482303474881164,1.15840509542389,93.0445583959976,17.255115500248,82.5307612494555,0.379212664622629,0.575857262834678,0.527044118292222,95.2058674748379,-4.70635361592013,95.0913327287228,0.37956062762874,0.576025844630639,0.531037095967706,95.1889253773931,0.911750401423612,95.6024349532258,0.366520415673328,0.572399406627947,0.384247792666782,95.1889253773931,0.911750401423612,95.6024349532258,0.371704899938487,0.50985690371218,0.374828256934009,95.2887587481819,-11.1714172193814,94.4921278805412,0.609720368641752,0.640032475378151,3.12186829922901,95.1889253773931,0.911750401423612,95.6024349532258
3,0.569987786666667,0.644404453333333,1.08788052333333,79.9611442256236,-15.3756068823705,84.6466968820478,0.69275932154902,0.55634831874201,0.993991460122964,93.3963594471471,3.62640128930299,77.9353995302512,0.661604773398277,0.530979609866482,0.57111238246043,93.410389338455,6.33336860388816,78.0969778517953,0.621939539794061,0.484177578838879,0.0847927799165914,91.8534219805662,-8.57597792572902,74.7440762532132,0.616574715996709,0.436092307374423,0.0289526567824584,91.8534203601974,-8.5759781618211,74.7440748197466,0.664155290146454,0.606688296046243,0.0536043101279174,91.85342026211,-8.57597830011785,74.7440748152208,0.465924899670247,0.58839201085545,0.954931620950925,95.1924179804713,-4.71700830443984,95.0951826595678,0.534935824843158,0.482240956546945,1.15840499018425,93.0774770661944,17.2045720626879,82.6479832932244,0.379138448793421,0.575804682143861,0.527053026193777,95.1924179804713,-4.71700830443984,95.0951826595678,0.379485811167437,0.575972760773999,0.531049424590017,95.1754319260387,0.905885330449117,95.605389558584,0.366478732441211,0.572363932309577,0.384256747646907,95.1754319260387,0.905885330449117,95.605389558584,0.371665897973636,0.509862518303521,0.37484089981488,95.2749822606483,-11.1697409155147,94.4986730065001,0.609060750685332,0.639668583171036,3.1219401726359,95.1754319260387,0.905885330449117,95.605389558584
4,0.5699113,0.64435092,1.08793418,79.9540136824039,-15.4000192425884,84.6983848764378,0.69277423414601,0.556440314718572,0.99402830319167,93.3994648535735,3.61127889282451,77.9823632340371,0.661642091822431,0.531164858330847,0.571138927569163,93.4137233972917,6.35730066859969,78.1464287919996,0.621947715215917,0.48413584680699,0.08484360040213,91.8548593335093,-8.5583589747338,74.791489481743,0.616617023845739,0.436029927962461,0.0290179940958686,91.8548576709579,-8.55835921686903,74.7914880114251,0.664058348957331,0.606672555983983,0.0536151600619839,91.8548575497901,-8.55835938770605,74.7914880058303,0.465918255259939,0.588302995261041,0.954945588063689,95.1897357667607,-4.71518510036738,95.0957904757376,0.534989090851895,0.482127897552154,1.15838608159515,93.0801865716516,17.1565975261882,82.6942569973846,0.379152982646226,0.575703291257214,0.52706306250495,95.1897357667607,-4.71518510036738,95.0957904757376,0.379499160619392,0.575870384977175,0.531047461204672,95.1727507228134,0.890789722350253,95.6042008349738,0.366495068421095,0.572300978063236,0.384253555798552,95.1727507228134,0.890789722350253,95.6042008349738,0.371672381427827,0.50992251361814,0.374852575794348,95.272114633374,-11.1611538799986,94.5002306758552,0.60902138791933,0.638870417008203,3.12195989162269,95.1727507228134,0.890789722350253,95.6042008349738
5,0.569859346666667,0.644253436666667,1.08793974666667,79.9233943755697,-15.4277314885317,84.7493889084889,0.692840343418651,0.55647556695668,0.994064250214611,93.4098654169928,3.55470932877721,78.0995920453178,0.661773220570693,0.531575170705376,0.571138852512563,93.4247669498045,6.41512799899672,78.2710303652403,0.621989231474802,0.483999203247064,0.0849040550992076,91.8590093744548,-8.54596500220252,74.9038973482983,0.616746441997709,0.435872245443643,0.0290882588681328,91.8590076652003,-8.54596525098362,74.9038958369982,0.663854139785355,0.60661280154945,0.0536470395754009,91.859007576729,-8.54596537572147,74.9038958329041,0.465982402850857,0.588185520845435,0.954868870190988,95.1941543347994,-4.72896837280381,95.0853796785804,0.53501927520033,0.481973743974551,1.15830174565934,93.0729697991673,17.1117499928702,82.7260667931723,0.379173041896661,0.575700643646953,0.526991921240354,95.1941543347994,-4.72896837280381,95.0853796785804,0.37952035490368,0.575867541812301,0.530985029991091,95.1770494211317,0.889245801035269,95.5953323806008,0.366504360952398,0.57230302595315,0.384192060567654,95.1770494211317,0.889245801035269,95.5953323806008,0.37167314790467,0.509897457876235,0.374782563135377,95.2766202333296,-11.1678278048993,94.48995088271,0.609252648143805,0.63878124672632,3.12188094031475,95.1770494211317,0.889245801035269,95.5953323806008
6,0.56993366,0.644090433333333,1.08794446333333,79.9114575174405,-15.4520645456698,84.7736106172175,0.692969294811976,0.556395724214276,0.994062839114358,93.4173958576747,3.4995380388405,78.1221687661133,0.661943392556169,0.531905447323308,0.571102699996221,93.4328282914787,6.45856445961267,78.2999197675329,0.622041330392995,0.483962896327136,0.0849135866640847,91.8622285789531,-8.5321149141009,74.9246553805886,0.616809875923853,0.435821778464353,0.0291089392511574,91.862226871651,-8.53211516246059,74.9246538713798,0.66385714653788,0.606585155465091,0.0536248484342665,91.8622267793332,-8.53211529262158,74.9246538671005,0.466109083120085,0.588038222675742,0.954826111017966,95.2019440662606,-4.74671041088799,95.0925363395631,0.53513640830109,0.481769500015878,1.15823248523909,93.069224762165,17.0867411240832,82.7427047898521,0.379231916870149,0.575668351760225,0.526959583898637,95.2019440662606,-4.74671041088799,95.0925363395631,0.379580777277006,0.575835132208507,0.530963875584373,95.1846770791681,0.887217893874582,95.6046815396097,0.366545404016057,0.572271781748648,0.384172597500666,95.1846770791681,0.887217893874582,95.6046815396097,0.371726420283939,0.509819898295819,0.37474865844622,95.2846030249985,-11.1790317283254,94.496789456654,0.609655115332756,0.638728267825016,3.12182993376179,95.1846770791681,0.887217893874582,95.6046815396097
7,0.5700731,0.64393956,1.08796176,79.9102151256015,-15.4715989304774,84.7776418498934,0.693119265643152,0.556284496782731,0.9940569155033,93.4257559381298,3.47649642095979,78.1336501097907,0.662073570746317,0.53197223070004,0.571084885795097,93.4414189596456,6.47445206815527,78.3141847977846,0.62208439928587,0.483903072899834,0.0849154308538503,91.8667592103006,-8.55696676281023,74.9279981742336,0.616858399847813,0.435786100303267,0.029089452171548,91.8667575129386,-8.55696700970275,74.9279966731095,0.663892785904075,0.606541991257855,0.0536821062091935,91.8667574033153,-8.55696716426854,74.9279966680151,0.466259045327006,0.587925592475999,0.954819106047077,95.2114886515261,-4.75946225597108,95.0872389122375,0.535282687962197,0.481592658700084,1.15819317042886,93.066953446366,17.0734065876029,82.7428839444771,0.379301712073344,0.575651105998704,0.526966117362446,95.2114886515261,-4.75946225597108,95.0872389122375,0.379652010074148,0.575817784292451,0.530978659872985,95.1940917965141,0.886061103365113,95.6013813093225,0.366592131055497,0.572255813344305,0.38418952653205,95.1940917965141,0.886061103365113,95.6013813093225,0.371772512203327,0.509739381926674,0.374747700687603,95.2944516291081,-11.192660596531,94.4902836182242,0.610158874753331,0.638686571527223,3.12180686334049,95.1940917965141,0.886061103365113,95.6013813093225
8,0.570153463333333,0.643824823333333,1.08801846333333,79.9220764211459,-15.5075305040393,84.7841025738392,0.693201047820227,0.556250811571694,0.994039884800947,93.4329375050978,3.48804139249594,78.1396026324812,0.662088004792511,0.531860772135777,0.571078716390135,93.4485455675409,6.46778993386006,78.3194165886525,0.622055152484187,0.483856048069724,0.0849064898212108,91.872890460406,-8.58181385720449,74.9273186610951,0.616829941092892,0.435763971884174,0.0290589886067276,91.8728887590706,-8.5818141046123,74.9273171557444,0.663863368615445,0.606509063139453,0.0537283401934057,91.8728886571445,-8.58181424833086,74.9273171509917,0.466329957988199,0.587878983141852,0.954854536122647,95.2147233713903,-4.74984007472828,95.085246555819,0.535400277191077,0.481426974910185,1.15815044621394,93.0564108097308,17.0540416692848,82.746018314306,0.379354647366834,0.575533410013943,0.527007246873666,95.2147233713903,-4.74984007472828,95.085246555819,0.379703654203849,0.575699156587505,0.531002048670543,95.1973670249875,0.870693137469441,95.5974378087988,0.3666313366834,0.572176461885321,0.384213074695384,95.1973670249875,0.870693137469441,95.5974378087988,0.371800744595117,0.509742303264606,0.374775424014506,95.2978035037436,-11.1921786267374,94.487074629718,0.610430058439758,0.637874718081066,3.12182743933209,95.1973670249875,0.870693137469441,95.5974378087988
9,0.570246333333333,0.6436409,1.08802557,79.9190230480542,-15.5022247609198,84.8058881023285,0.693329978165559,0.556102824271553,0.994060733600258,93.4428283252299,3.5028094322121,78.1422684837062,0.662123261224412,0.531615088779622,0.571115211532748,93.4582589174729,6.44321636286693,78.3202142787231,0.622052173243023,0.483831351451281,0.0849243652197935,91.8858287059445,-8.5830788701067,74.930211478619,0.61681928973509,0.435743268216944,0.0290741441023972,91.8858270023332,-8.58307911751499,74.9302099711559,0.663843520097412,0.60649036038666,0.0537471794733781,91.8858269119504,-8.58307924496258,74.930209966912,0.466449003869834,0.587644166123794,0.954862628464083,95.2182443340168,-4.75497663827852,95.0782990247347,0.535549585474741,0.481237137857736,1.15817180206095,93.0124632764696,17.0873706311999,82.7505944693809,0.379442765581684,0.575344582980528,0.527020302946039,95.2182443340168,-4.75497663827852,95.0782990247347,0.379790876772187,0.575508649558009,0.531000699920248,95.2008026178494,0.845223823608719,95.5889863737577,0.366702922728757,0.572051978724624,0.384211549675052,95.2008026178494,0.845223823608719,95.5889863737577,0.371856093441694,0.509703809329295,0.374767714315756,95.3015089312003,-11.20130714443,94.4793327286765,0.610793265638721,0.636518889767257,3.12182920174795,95.2008026178494,0.845223823608719,95.5889863737577
10,0.57064223,0.64340044,1.08791288,79.904819543572,-15.4398317374716,84.7801640903891,0.693693804023379,0.555695096296907,0.994062085526292,93.4660313527242,3.4969360803164,78.1353616486411,0.662324587276594,0.531286235688896,0.571126094143712,93.4813673936742,6.411019103557,78.3128959698935,0.62210976977145,0.48381645702968,0.0849163603346734,91.9127031601661,-8.59060247494068,74.9215476883192,0.616849876908881,0.435742618820032,0.0290564138194011,91.9127014915358,-8.59060271661491,74.9215462114766,0.663898179330585,0.606479785477649,0.053752234537999,91.9127014165452,-8.59060282236765,74.9215462079048,0.466834552617926,0.587309902125919,0.954797492141982,95.2411110247722,-4.77905477742291,95.0659717436034,0.535852083635198,0.48109226314853,1.15823386964989,92.9559515368037,17.1468632052948,82.7100297495236,0.379640709135623,0.575190213241864,0.526988226754499,95.2411110247722,-4.77905477742291,95.0659717436034,0.379990736902743,0.57535286568891,0.530970484717271,95.2233802163786,0.823692606069999,95.5791390075315,0.366839244700366,0.571947796632508,0.384185807378074,95.2233802163786,0.823692606069999,95.5791390075315,0.371981762139786,0.509540023697564,0.374702642793238,95.3251704546175,-11.2345771831457,94.4634421345409,0.612114574274692,0.635452334534389,3.12172003975409,95.2233802163786,0.823692606069999,95.5791390075315
