Header,Healthy_vx,Healthy_vy,Healthy_vz,Healthy_px,Healthy_py,Healthy_pz,Healthy_moment_x,Healthy_moment_y,Healthy_moment_z,Prosthesis_vx,Prosthesis_vy,Prosthesis_vz,Prosthesis_px,Prosthesis_py,Prosthesis_pz,Prosthesis_moment_x,Prosthesis_moment_y,Prosthesis_moment_z
1,-36.468505859375,11.5203857421875,614.92919921875,0.695192919143039,0.516140318439365,0,317.3828125,261.2915,11.5966796875,35.09521484375,-10.833740234375,403.594970703125,0.382824647820265,0.6266359700046,0,252.9296875,-154.479984375,-27.89306640625
2,-36.2650553385417,12.1561686197917,618.743896484375,0.694970865224533,0.515443931421169,0,319.376614583333,262.7766875,11.3525390625,35.6801350911458,-11.1897786458333,401.91650390625,0.382951695751929,0.624203444256669,0,251.383463541667,-154.052739583333,-28.7679036458333
3,-35.8327229817708,11.6221110026042,615.285237630208,0.694980882254374,0.515450023569124,0,315.673822916667,261.840822916667,11.0066731770833,36.2396240234375,-12.969970703125,406.036376953125,0.383074984157241,0.624446744198658,0,252.848307291667,-155.21240625,-30.1920572916667
4,-35.0189208984375,11.6729736328125,609.43603515625,0.694836361334995,0.515274732997226,0,315.1855625,259.033203125,11.29150390625,36.8499755859375,-10.986328125,408.02001953125,0.382872818833644,0.623867065653904,0,254.76075,-156.494140625,-30.21240234375
5,-33.1370035807292,11.7746988932292,600.382486979167,0.694346821331634,0.515155167294494,0,310.22134375,255.778,9.86735026041666,37.3077392578125,-11.6475423177083,417.022705078125,0.382591255577131,0.623365630825316,0,260.29459375,-159.66796875,-30.029296875
6,-33.7727864583333,10.2996826171875,605.977376302083,0.694034819211497,0.514784264150241,0,311.482739583333,258.321130208333,11.2711588541667,36.62109375,-11.5712483723958,416.717529296875,0.382646613437531,0.62361679237194,0,260.009765625,-159.545895833333,-29.6223958333333
7,-34.1033935546875,12.51220703125,604.095458984375,0.693890221827366,0.512721674310039,0,310.6689375,257.568359375,9.521484375,37.078857421875,-11.90185546875,411.529541015625,0.382687900114932,0.623695494415753,0,256.958,-157.6538125,-30.6396484375
8,-34.2559814453125,11.8509928385417,606.0791015625,0.693661174027662,0.51220795365753,0,310.221364583333,258.361822916667,10.31494140625,37.0279947916667,-12.51220703125,411.936442057292,0.382762136607579,0.623767672201395,0,256.225583333333,-157.328291666667,-30.5582682291667
9,-32.4249267578125,11.29150390625,603.078206380208,0.69335372948053,0.511003138813025,0,307.739260416667,257.405604166667,9.31803385416666,37.384033203125,-11.8764241536458,416.158040364583,0.382648590242974,0.623014018048441,0,259.318041666667,-159.11865625,-30.6193033854167
10,-32.196044921875,12.20703125,599.822998046875,0.693000659929898,0.509919694606555,0,307.00684375,255.859375,9.21630859375,38.14697265625,-11.2152099609375,418.853759765625,0.382818173654197,0.623043309510707,0,260.86425,-160.827640625,-31.18896484375
11,-32.4757893880208,12.5630696614583,597.025553385417,0.692994726188938,0.509352057664824,0,302.978510416667,254.964192708333,8.40250651041666,37.53662109375,-12.51220703125,418.752034505208,0.38286048841208,0.622692510941842,0,260.009765625,-160.013838541667,-30.7820638020833
12,-33.1624348958333,12.4359130859375,599.466959635417,0.693219668152267,0.509660393142507,0,305.5013125,255.981447916667,9.33837890624999,38.0198160807292,-11.7746988932291,418.039957682292,0.382944973300722,0.622661074190238,0,260.6608125,-160.319015625,-31.3313802083333
13,-33.111572265625,13.1988525390625,604.095458984375,0.693314404255482,0.509709293501909,0,307.12890625,257.568359375,8.30078125,36.773681640625,-10.3759765625,412.29248046875,0.383189123605276,0.622853647437001,0,257.44628125,-158.325203125,-29.296875
14,-34.9934895833333,12.4359130859375,609.639485677083,0.693540986425817,0.510969100644775,0,310.791,260.355635416667,10.5997721354166,35.2223714192708,-11.3423665364583,404.764811197917,0.38349197024615,0.62325403823289,0,251.749677083333,-154.968265625,-28.25927734375
15,-34.2559814453125,14.0380859375,610.860188802083,0.693927999752477,0.511010163014897,0,312.377916666667,260.579427083333,8.70768229166667,35.8835856119791,-11.29150390625,400.950113932292,0.383905183202927,0.623502729441874,0,250.081380208333,-154.113770833333,-29.4189453125
16,-34.8663330078125,12.8173828125,613.4033203125,0.693849615594812,0.510712269695815,0,312.86621875,261.352546875,10.1318359375,35.7818603515625,-11.749267578125,404.815673828125,0.38378870660615,0.623545262455178,0,252.197265625,-155.395515625,-28.62548828125
17,-35.1206461588542,13.9363606770834,616.861979166667,0.694504884771564,0.512031100349039,0,315.551760416667,262.532552083333,9.37906901041664,35.0189208984375,-10.986328125,400.950113932292,0.383905916458498,0.623781926829578,0,250.691729166667,-153.991697916667,-28.3406575520834
18,-37.5620524088542,13.427734375,621.388753255208,0.695615162335334,0.51494959542008,0,320.4345625,263.77359375,11.53564453125,33.7982177734375,-11.2406412760416,396.728515625,0.38371718286035,0.623764165987191,0,247.55859375,-152.018234375,-27.5675455729167
19,-37.0025634765625,10.986328125,619.81201171875,0.696530221448567,0.517447480785459,0,319.5800625,262.51221875,11.90185546875,34.637451171875,-12.359619140625,399.322509765625,0.383713510685994,0.623299713367097,0,248.1689375,-153.25928125,-28.62548828125
20,-37.53662109375,11.6475423177083,614.6240234375,0.696698616940781,0.519111160627488,0,320.3125,260.335291666667,12.4104817708333,34.8917643229167,-10.6302897135416,401.560465494792,0.383794724377195,0.623953363432357,0,251.098635416667,-154.296875,-27.9134114583334
